Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
23.24350395,0.703995065,1.438747723,0.676036091,10.03805367,3.619668289,47.70258703,18.67872505,100.9098907,22.87754677,240.7619314,47.33990184,1
7.95,8.96,13.3,1.97,75,24.5,289,102,428,87.4,790,135,1
5.219820863,3.525050952,17.26696346,1.810627881,130.6946477,40.13599926,349.0988503,83.55242519,304.4188027,47.51991127,381.9627525,56.58964052,0
53.85416475,3.851319452,7.449964767,1.009967621,31.10857778,9.302309705,105.2548484,36.63994004,161.3246657,32.11183545,340.6229099,56.99795635,0
5.2,5.7,12.1,0.7,55.5,17.8,223.1,67.2,327.9,66,662.3,77,0
5.31,1.26,3.61,0.52,25.65,11.25,170.1,69.4,357.9,80.8,735,138.9,0
1.477,1.21,2.66,0.283,12.81,4.5,53.92,22.05,105.53,24.68,252.24,52.79,1
5.48,2.63,5.54,0.044,27.9,9.26,104,37.6,163,35.7,330,57.8,1
14.81522672,5.070482218,10.6870647,1.440614458,54.05166166,18.89758826,235.0808414,83.99074442,390.2295517,79.8944368,746.4999299,117.1636326,0
6.08,3.2,7.37,0.99,49.1,17.58,223,87.1,409,79.9,694,137.9,0
59.1202961,3.028485822,6.021072556,0.960954192,21.15909487,7.241084628,101.7354316,37.13422227,195.416974,43.25167297,510.6976424,92.48088625,1
8.955746154,2.763726523,6.319344469,0.21720086,25.95812232,7.915747065,90.66184297,32.54729979,145.9741596,31.27801855,286.1334652,57.7848436,0
4.34,0.91,1.85,0.134,12.9,4.57,55.4,19.44,92.3,18.24,154.5,30.8,0
2.46,3.06,6.81,0.311,31.49,10.98436797,126.9,46.9,203.5,41.87751865,375.3,75.6,0
11.3,0.2,0.9,0.4,8.4,3.7,52.4,23.6,124,29.9,315,68.2,1
1.36,1.011,3.88,0.0852,25.1,11.39,153.09,56.99,250.71,58.06,605.72,113.7235,0
3.84,8.03,9.39,0.738,35.82,11.54983609,110.9,38.37,160.4,30.93791239,276.2,53.98,0
4.77,3.35,7.09,0.709,28.92,8.06,78.97,26.84,110.9,22.55,197.8,39.25,0
10.04,3.4,7.9,0.94,47.4,15.96,181.4,63.6,272.7,51.5,457,90.8,0
0.607,1.33,5.85,0.049,43.6,17.07,189.5,59.6,237,43.9,342,58.1,0
10.91,5.18,10.56,0.69,71.38,28.24,344.81,129.7,578.25,109.51,1008.66,195.5,1
9.162314993,1.950205521,4.225101542,1.32809666,22.21654816,7.286424184,98.01421455,33.70531453,148.1201874,30.72835287,292.3984009,50.48163276,0
8.18,0.75,2.89,0.52,16.39,6.8,92.86,37.42,168.06,42.92,522.66,96.92,1
11.54,3.58,8.57,1.37,59.8,19.46,245.1,99.9,501,102.5,893,183.4,0
10.60041298,2.557771399,6.187406796,0.571655522,36.96894815,12.7277506,149.6101747,57.08601149,228.9296386,51.85827616,419.8296148,85.60316086,0
13.69,2.27,4.95,1.24,27.5,9.28,116.6,43.7,195,41.6,360,63.8,1
78.3,2.74,9.99,0.069,81.9,30.47,400,152.9,721,147.7,1299,262.7,1
8.57,0.51,0.8,0.21,4.58,1.84,24.2,10.6,56.2,14.4,167,36.5,1
5.161223968,3.410691333,16.85794943,1.616979534,142.5820841,50.31667428,494.1374462,134.4707896,527.6511372,88.28649846,741.0357284,110.7791841,0
9.7,0.65,2.32,0.16,14.61,5.69,70,27.66,128,26.83,245,50,1
3.55,1.72,1.96,0.227,22.13814244,7.652709325,87.4,34.54967848,162.2743493,38.66625048,441,91.3,0
8.2,2.39,5.17,0.98,27.64,9.78,116.5,43.03,193.3,45.55,487.7,64.98,0
9.1,2.1,3.1,0.9,21.4,6.2,98.7,34.3,174,33,307,66.2,1
3.173,0.68,1.53,0.338,9.19,3.48,47.97,19.41,99.7,24.26,237.4,46.22,1
120,4.23,10.15,2.13,54.32,20.8,261,96.18,426,90.34,879.3,163.6,1
11.3,1.38,3.24,0.47,24.5,6.09,70.4,26.1,149,25.8,278,48.9,0
78.1,4,8.41,3.32,42.9,12.46,137.1,49,235,48.8,456,101.1,1
47.53,1.5,2.7,1.083,13.19,4.75,55.9,22.69,108.81,25.58,277.4,55.07,1
20.05330647,1.628843743,2.988500242,0.327456722,16.39214705,5.815461399,73.12820296,26.15785429,125.4072463,25.80464741,274.6562822,47.90533881,0
35.05,0.87,1.78,0.681,9.53,3.4,40.55,17.23,86.45,22.07,258.89,58.05,1
